#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-07-03T10:07:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d1c7e3023be0 
#INFO -out.max=unlimited 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/813/47/map_list
#-nav=cat:J/ApJ/813/47&tab:{J/ApJ/813/47/map_list}&key:source=J/ApJ/813/47/map_list&HTTPPRM:&&-ref=VIZ5d1c7e3023be0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Model&-out=Teff&-out=log(g)&-out=[Fe/H]&-out=C/O&-out=SpType&-out=pt&-ignore=pt=*&pt=pt&-out=ab&ab=ab&-out=sp&sp=sp&-out=Flags&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/ApJ/813/47/map_list
#-source=J/ApJ/813/47/map_list
#-out=Model
#-out=Teff
#-out=log(g)
#-out=[Fe/H]
#-out=C/O
#-out=SpType
#-out=pt
#-out=ab
#-out=sp
#-out=Flags
#
#
#RESOURCE=yCat_18130047
#Name: J/ApJ/813/47
#Title: Model atmospheres of irradiated exoplanets (Molliere+, 2015)
#Table J_ApJ_813_47_map_list:
#Name: J/ApJ/813/47/map_list
#Title: File for mapping the model number to the planetary log(g), [Fe/H], C/O, Teff and the host star spectral type and the model flags
#---Details of Columns:
#    Model            (A5)    [1/10640] Model ID [ucd=meta.id;stat.param;meta.modelled]
#    Teff (K)         (I4)    Effective temperature [ucd=phys.temperature.effective]
#    log(g) ([cm/s2]) (F4.1)  Gravitional acceleration [ucd=phys.gravity]
#    [Fe/H]           (F4.1)  Planetary metallicity [ucd=phys.abund.Z]
#    C/O              (F5.2)  Carbon-to-oxygen number ratio [ucd=phys.abund]
#    SpType           (A2)    Spectral type of host star [ucd=src.spType]
#    pt               (A2)    Display the Atmospheric structure file [ucd=meta.ref.url]
#    ab               (A2)    Display the Atmospheric abundances file [ucd=meta.ref.url]
#    sp               (A2)    Show the spectrum [ucd=meta.ref.url]
#    Flags            (a50)   Model flags (1) [ucd=meta.code.error]
#---- ---- ---- ---- ----- -- -- -- -- --------------------------------------------------
#           log(                                                                          
#           g) (            Sp                                                            
#      Teff [cm/ [F         Ty                                                            
#Model (K)  s2]) e/H] C/O   pe pt ab sp Flags                                             
#----- ---- ---- ---- ----- -- -- -- -- --------------------------------------------------
00066 1000  2.3  1.0  0.85 F5 pt ab sp _neqc
00067 1000  2.3  1.0  0.91 F5 pt ab sp _neqc
00068 1000  2.3  1.0  0.92 F5 pt ab sp _neqc
00069 1000  2.3  1.0  0.93 F5 pt ab sp _neqc
00070 1000  2.3  1.0  0.94 F5 pt ab sp _neqc
00071 1000  2.3  1.0  0.95 F5 pt ab sp _neqc
00072 1000  2.3  1.0  0.90 F5 pt ab sp _neqc
00073 1000  2.3  1.0  1.05 F5 pt ab sp _neqc
00074 1000  2.3  1.0  1.00 F5 pt ab sp _neqc
00075 1000  2.3  1.0  1.12 F5 pt ab sp _neqc
00076 1000  2.3  1.0  1.40 F5 pt ab sp _neqc
00077 1000  2.3  2.0  0.35 F5 pt ab sp _neqc
00078 1000  2.3  2.0  0.55 F5 pt ab sp _neqc
00079 1000  2.3  2.0  0.71 F5 pt ab sp _neqc
00080 1000  2.3  2.0  0.72 F5 pt ab sp _neqc
00081 1000  2.3  2.0  0.73 F5 pt ab sp _neqc
00082 1000  2.3  2.0  0.74 F5 pt ab sp _neqc
00083 1000  2.3  2.0  0.75 F5 pt ab sp _neqc
00084 1000  2.3  2.0  0.70 F5 pt ab sp _neqc
00085 1000  2.3  2.0  0.85 F5 pt ab sp _neqc
00086 1000  2.3  2.0  0.91 F5 pt ab sp _neqc
00087 1000  2.3  2.0  0.92 F5 pt ab sp _neqc
00088 1000  2.3  2.0  0.93 F5 pt ab sp _neqc
00089 1000  2.3  2.0  0.94 F5 pt ab sp _neqc
00090 1000  2.3  2.0  0.95 F5 pt ab sp _neqc
00091 1000  2.3  2.0  0.90 F5 pt ab sp _neqc
00092 1000  2.3  2.0  1.05 F5 pt ab sp _neqc
00093 1000  2.3  2.0  1.00 F5 pt ab sp _neqc
00094 1000  2.3  2.0  1.12 F5 pt ab sp _neqc
00095 1000  2.3  2.0  1.40 F5 pt ab sp _neqc
00096 1000  3.0 -0.5  0.35 F5 pt ab sp _neqc
00097 1000  3.0 -0.5  0.55 F5 pt ab sp _neqc
00098 1000  3.0 -0.5  0.71 F5 pt ab sp _neqc
00099 1000  3.0 -0.5  0.72 F5 pt ab sp _neqc
00100 1000  3.0 -0.5  0.73 F5 pt ab sp _neqc
00101 1000  3.0 -0.5  0.74 F5 pt ab sp _neqc
00102 1000  3.0 -0.5  0.75 F5 pt ab sp _neqc
00103 1000  3.0 -0.5  0.70 F5 pt ab sp _neqc
00104 1000  3.0 -0.5  0.85 F5 pt ab sp _neqc
00105 1000  3.0 -0.5  0.91 F5 pt ab sp _neqc
00106 1000  3.0 -0.5  0.92 F5 pt ab sp _neqc
00107 1000  3.0 -0.5  0.93 F5 pt ab sp _neqc
00108 1000  3.0 -0.5  0.94 F5 pt ab sp _neqc
00109 1000  3.0 -0.5  0.95 F5 pt ab sp _neqc
00110 1000  3.0 -0.5  0.90 F5 pt ab sp _neqc
00111 1000  3.0 -0.5  1.05 F5 pt ab sp _neqc
00112 1000  3.0 -0.5  1.00 F5 pt ab sp _neqc
00113 1000  3.0 -0.5  1.12 F5 pt ab sp _neqc
00114 1000  3.0 -0.5  1.40 F5 pt ab sp _neqc
00115 1000  3.0  0.0  0.35 F5 pt ab sp _neqc
00116 1000  3.0  0.0  0.55 F5 pt ab sp _neqc
00117 1000  3.0  0.0  0.71 F5 pt ab sp _neqc
00118 1000  3.0  0.0  0.72 F5 pt ab sp _neqc
00119 1000  3.0  0.0  0.73 F5 pt ab sp _neqc
00120 1000  3.0  0.0  0.74 F5 pt ab sp _neqc
00121 1000  3.0  0.0  0.75 F5 pt ab sp _neqc
00122 1000  3.0  0.0  0.70 F5 pt ab sp _neqc
00123 1000  3.0  0.0  0.85 F5 pt ab sp _neqc
00124 1000  3.0  0.0  0.91 F5 pt ab sp _neqc
00125 1000  3.0  0.0  0.92 F5 pt ab sp _neqc
00126 1000  3.0  0.0  0.93 F5 pt ab sp _neqc
00127 1000  3.0  0.0  0.94 F5 pt ab sp _neqc
00128 1000  3.0  0.0  0.95 F5 pt ab sp _neqc
00129 1000  3.0  0.0  0.90 F5 pt ab sp _neqc
00130 1000  3.0  0.0  1.05 F5 pt ab sp _neqc
00131 1000  3.0  0.0  1.00 F5 pt ab sp _neqc
00132 1000  3.0  0.0  1.12 F5 pt ab sp _neqc
00133 1000  3.0  0.0  1.40 F5 pt ab sp _neqc
00134 1000  3.0  0.5  0.35 F5 pt ab sp _neqc
00135 1000  3.0  0.5  0.55 F5 pt ab sp _neqc
00136 1000  3.0  0.5  0.71 F5 pt ab sp _neqc
00137 1000  3.0  0.5  0.72 F5 pt ab sp _neqc
00138 1000  3.0  0.5  0.73 F5 pt ab sp _neqc
00139 1000  3.0  0.5  0.74 F5 pt ab sp _neqc
00140 1000  3.0  0.5  0.75 F5 pt ab sp _neqc
00141 1000  3.0  0.5  0.70 F5 pt ab sp _neqc
00142 1000  3.0  0.5  0.85 F5 pt ab sp _neqc
00143 1000  3.0  0.5  0.91 F5 pt ab sp _neqc
00144 1000  3.0  0.5  0.92 F5 pt ab sp _neqc
00145 1000  3.0  0.5  0.93 F5 pt ab sp _neqc
00146 1000  3.0  0.5  0.94 F5 pt ab sp _neqc
00147 1000  3.0  0.5  0.95 F5 pt ab sp _neqc
00148 1000  3.0  0.5  0.90 F5 pt ab sp _neqc
00149 1000  3.0  0.5  1.05 F5 pt ab sp _neqc
00150 1000  3.0  0.5  1.00 F5 pt ab sp _neqc
00151 1000  3.0  0.5  1.12 F5 pt ab sp _neqc
00152 1000  3.0  0.5  1.40 F5 pt ab sp _neqc
00153 1000  3.0  1.0  0.35 F5 pt ab sp _neqc
00154 1000  3.0  1.0  0.55 F5 pt ab sp _neqc
00155 1000  3.0  1.0  0.71 F5 pt ab sp _neqc
00156 1000  3.0  1.0  0.72 F5 pt ab sp _neqc
00157 1000  3.0  1.0  0.73 F5 pt ab sp _neqc
00158 1000  3.0  1.0  0.74 F5 pt ab sp _neqc
00159 1000  3.0  1.0  0.75 F5 pt ab sp _neqc
00160 1000  3.0  1.0  0.70 F5 pt ab sp _neqc
00161 1000  3.0  1.0  0.85 F5 pt ab sp _neqc
00162 1000  3.0  1.0  0.91 F5 pt ab sp _neqc
00163 1000  3.0  1.0  0.92 F5 pt ab sp _neqc
00164 1000  3.0  1.0  0.93 F5 pt ab sp _neqc
00165 1000  3.0  1.0  0.94 F5 pt ab sp _neqc
00166 1000  3.0  1.0  0.95 F5 pt ab sp _neqc
00167 1000  3.0  1.0  0.90 F5 pt ab sp _neqc
00168 1000  3.0  1.0  1.05 F5 pt ab sp _neqc
00169 1000  3.0  1.0  1.00 F5 pt ab sp _neqc
00170 1000  3.0  1.0  1.12 F5 pt ab sp _neqc
00171 1000  3.0  1.0  1.40 F5 pt ab sp _neqc
00172 1000  3.0  2.0  0.35 F5 pt ab sp _neqc
00173 1000  3.0  2.0  0.55 F5 pt ab sp _neqc
00174 1000  3.0  2.0  0.71 F5 pt ab sp _neqc
00175 1000  3.0  2.0  0.72 F5 pt ab sp _neqc
00176 1000  3.0  2.0  0.73 F5 pt ab sp _neqc
00177 1000  3.0  2.0  0.74 F5 pt ab sp _neqc
00178 1000  3.0  2.0  0.75 F5 pt ab sp _neqc
00179 1000  3.0  2.0  0.70 F5 pt ab sp _neqc
00180 1000  3.0  2.0  0.85 F5 pt ab sp _neqc
00181 1000  3.0  2.0  0.91 F5 pt ab sp _neqc
00182 1000  3.0  2.0  0.92 F5 pt ab sp _neqc
00183 1000  3.0  2.0  0.93 F5 pt ab sp _neqc
00184 1000  3.0  2.0  0.94 F5 pt ab sp _neqc
00185 1000  3.0  2.0  0.95 F5 pt ab sp _neqc
00186 1000  3.0  2.0  0.90 F5 pt ab sp _neqc
00187 1000  3.0  2.0  1.05 F5 pt ab sp _neqc
00188 1000  3.0  2.0  1.00 F5 pt ab sp _neqc
00189 1000  3.0  2.0  1.12 F5 pt ab sp _neqc
00190 1000  3.0  2.0  1.40 F5 pt ab sp _neqc
00191 1000  4.0 -0.5  0.35 F5 pt ab sp _neqc
00192 1000  4.0 -0.5  0.55 F5 pt ab sp _neqc
00193 1000  4.0 -0.5  0.71 F5 pt ab sp _neqc
00194 1000  4.0 -0.5  0.72 F5 pt ab sp _neqc
00195 1000  4.0 -0.5  0.73 F5 pt ab sp _neqc
00196 1000  4.0 -0.5  0.74 F5 pt ab sp _neqc
00197 1000  4.0 -0.5  0.75 F5 pt ab sp _neqc
00198 1000  4.0 -0.5  0.70 F5 pt ab sp _neqc
00199 1000  4.0 -0.5  0.85 F5 pt ab sp _neqc
00200 1000  4.0 -0.5  0.91 F5 pt ab sp _neqc
00201 1000  4.0 -0.5  0.92 F5 pt ab sp _neqc
00202 1000  4.0 -0.5  0.93 F5 pt ab sp _neqc
00203 1000  4.0 -0.5  0.94 F5 pt ab sp _neqc
00204 1000  4.0 -0.5  0.95 F5 pt ab sp _neqc
00205 1000  4.0 -0.5  0.90 F5 pt ab sp _neqc
00206 1000  4.0 -0.5  1.05 F5 pt ab sp _neqc
00207 1000  4.0 -0.5  1.00 F5 pt ab sp _neqc
00208 1000  4.0 -0.5  1.12 F5 pt ab sp _neqc
00209 1000  4.0 -0.5  1.40 F5 pt ab sp _neqc
00210 1000  4.0  0.0  0.35 F5 pt ab sp _neqc
00211 1000  4.0  0.0  0.55 F5 pt ab sp _neqc
00212 1000  4.0  0.0  0.71 F5 pt ab sp _neqc
00213 1000  4.0  0.0  0.72 F5 pt ab sp _neqc
00214 1000  4.0  0.0  0.73 F5 pt ab sp _neqc
00215 1000  4.0  0.0  0.74 F5 pt ab sp _neqc
00216 1000  4.0  0.0  0.75 F5 pt ab sp _neqc
00217 1000  4.0  0.0  0.70 F5 pt ab sp _neqc
00218 1000  4.0  0.0  0.85 F5 pt ab sp _neqc
00219 1000  4.0  0.0  0.91 F5 pt ab sp _neqc
00220 1000  4.0  0.0  0.92 F5 pt ab sp _neqc
00221 1000  4.0  0.0  0.93 F5 pt ab sp _neqc
00222 1000  4.0  0.0  0.94 F5 pt ab sp _neqc
00223 1000  4.0  0.0  0.95 F5 pt ab sp _neqc
00224 1000  4.0  0.0  0.90 F5 pt ab sp _neqc
00225 1000  4.0  0.0  1.05 F5 pt ab sp _neqc
00226 1000  4.0  0.0  1.00 F5 pt ab sp _neqc
00227 1000  4.0  0.0  1.12 F5 pt ab sp _neqc
00228 1000  4.0  0.0  1.40 F5 pt ab sp _neqc
00229 1000  4.0  0.5  0.35 F5 pt ab sp _neqc
00230 1000  4.0  0.5  0.55 F5 pt ab sp _neqc
00231 1000  4.0  0.5  0.71 F5 pt ab sp _neqc
00232 1000  4.0  0.5  0.72 F5 pt ab sp _neqc
00233 1000  4.0  0.5  0.73 F5 pt ab sp _neqc
00234 1000  4.0  0.5  0.74 F5 pt ab sp _neqc
00235 1000  4.0  0.5  0.75 F5 pt ab sp _neqc
00236 1000  4.0  0.5  0.70 F5 pt ab sp _neqc
00237 1000  4.0  0.5  0.85 F5 pt ab sp _neqc
00238 1000  4.0  0.5  0.91 F5 pt ab sp _neqc
00239 1000  4.0  0.5  0.92 F5 pt ab sp _neqc
00240 1000  4.0  0.5  0.93 F5 pt ab sp _neqc
00241 1000  4.0  0.5  0.94 F5 pt ab sp _neqc
00242 1000  4.0  0.5  0.95 F5 pt ab sp _neqc
00243 1000  4.0  0.5  0.90 F5 pt ab sp _neqc
00244 1000  4.0  0.5  1.05 F5 pt ab sp _neqc
00245 1000  4.0  0.5  1.00 F5 pt ab sp _neqc
00246 1000  4.0  0.5  1.12 F5 pt ab sp _neqc
00247 1000  4.0  0.5  1.40 F5 pt ab sp _neqc
00248 1000  4.0  1.0  0.35 F5 pt ab sp _neqc
00249 1000  4.0  1.0  0.55 F5 pt ab sp _neqc
00250 1000  4.0  1.0  0.71 F5 pt ab sp _neqc
00251 1000  4.0  1.0  0.72 F5 pt ab sp _neqc
00252 1000  4.0  1.0  0.73 F5 pt ab sp _neqc
00253 1000  4.0  1.0  0.74 F5 pt ab sp _neqc
00254 1000  4.0  1.0  0.75 F5 pt ab sp _neqc
00255 1000  4.0  1.0  0.70 F5 pt ab sp _neqc
00256 1000  4.0  1.0  0.85 F5 pt ab sp _neqc
00257 1000  4.0  1.0  0.91 F5 pt ab sp _neqc
00258 1000  4.0  1.0  0.92 F5 pt ab sp _neqc
00259 1000  4.0  1.0  0.93 F5 pt ab sp _neqc
00260 1000  4.0  1.0  0.94 F5 pt ab sp _neqc
00261 1000  4.0  1.0  0.95 F5 pt ab sp _neqc
00262 1000  4.0  1.0  0.90 F5 pt ab sp _neqc
00263 1000  4.0  1.0  1.05 F5 pt ab sp _neqc
00264 1000  4.0  1.0  1.00 F5 pt ab sp _neqc
00265 1000  4.0  1.0  1.12 F5 pt ab sp _neqc
00266 1000  4.0  1.0  1.40 F5 pt ab sp _neqc
00267 1000  4.0  2.0  0.35 F5 pt ab sp _neqc
00268 1000  4.0  2.0  0.55 F5 pt ab sp _neqc
00269 1000  4.0  2.0  0.71 F5 pt ab sp _neqc
00270 1000  4.0  2.0  0.72 F5 pt ab sp _neqc
00271 1000  4.0  2.0  0.73 F5 pt ab sp _neqc
00272 1000  4.0  2.0  0.74 F5 pt ab sp _neqc
00273 1000  4.0  2.0  0.75 F5 pt ab sp _neqc
00274 1000  4.0  2.0  0.70 F5 pt ab sp _neqc
00275 1000  4.0  2.0  0.85 F5 pt ab sp _neqc
00276 1000  4.0  2.0  0.91 F5 pt ab sp _neqc
00277 1000  4.0  2.0  0.92 F5 pt ab sp _neqc
00278 1000  4.0  2.0  0.93 F5 pt ab sp _neqc
00279 1000  4.0  2.0  0.94 F5 pt ab sp _neqc
00280 1000  4.0  2.0  0.95 F5 pt ab sp _neqc
00281 1000  4.0  2.0  0.90 F5 pt ab sp _neqc
00282 1000  4.0  2.0  1.05 F5 pt ab sp _neqc
00283 1000  4.0  2.0  1.00 F5 pt ab sp _neqc
00284 1000  4.0  2.0  1.12 F5 pt ab sp _neqc
00285 1000  4.0  2.0  1.40 F5 pt ab sp _neqc
00286 1000  5.0 -0.5  0.35 F5 pt ab sp _neqc
00287 1000  5.0 -0.5  0.55 F5 pt ab sp _neqc
00288 1000  5.0 -0.5  0.71 F5 pt ab sp _neqc
00289 1000  5.0 -0.5  0.72 F5 pt ab sp _neqc
00290 1000  5.0 -0.5  0.73 F5 pt ab sp _neqc
00291 1000  5.0 -0.5  0.74 F5 pt ab sp _neqc
00292 1000  5.0 -0.5  0.75 F5 pt ab sp _neqc
00293 1000  5.0 -0.5  0.70 F5 pt ab sp _neqc
00294 1000  5.0 -0.5  0.85 F5 pt ab sp _neqc
00295 1000  5.0 -0.5  0.91 F5 pt ab sp _neqc
00296 1000  5.0 -0.5  0.92 F5 pt ab sp _neqc
00297 1000  5.0 -0.5  0.93 F5 pt ab sp _neqc
00298 1000  5.0 -0.5  0.94 F5 pt ab sp _neqc
00299 1000  5.0 -0.5  0.95 F5 pt ab sp _neqc
00300 1000  5.0 -0.5  0.90 F5 pt ab sp _neqc
00301 1000  5.0 -0.5  1.05 F5 pt ab sp _neqc
00302 1000  5.0 -0.5  1.00 F5 pt ab sp _neqc
00303 1000  5.0 -0.5  1.12 F5 pt ab sp _neqc
00304 1000  5.0 -0.5  1.40 F5 pt ab sp _neqc
00305 1000  5.0  0.0  0.35 F5 pt ab sp _neqc
00306 1000  5.0  0.0  0.55 F5 pt ab sp _neqc
00307 1000  5.0  0.0  0.71 F5 pt ab sp _neqc
00308 1000  5.0  0.0  0.72 F5 pt ab sp _neqc
00309 1000  5.0  0.0  0.73 F5 pt ab sp _neqc
00310 1000  5.0  0.0  0.74 F5 pt ab sp _neqc
00311 1000  5.0  0.0  0.75 F5 pt ab sp _neqc
00312 1000  5.0  0.0  0.70 F5 pt ab sp _neqc
00313 1000  5.0  0.0  0.85 F5 pt ab sp _neqc
00314 1000  5.0  0.0  0.91 F5 pt ab sp _neqc
00315 1000  5.0  0.0  0.92 F5 pt ab sp _neqc
00316 1000  5.0  0.0  0.93 F5 pt ab sp _neqc
00317 1000  5.0  0.0  0.94 F5 pt ab sp _neqc
00318 1000  5.0  0.0  0.95 F5 pt ab sp _neqc
00319 1000  5.0  0.0  0.90 F5 pt ab sp _neqc
00320 1000  5.0  0.0  1.05 F5 pt ab sp _neqc
00321 1000  5.0  0.0  1.00 F5 pt ab sp _neqc
00322 1000  5.0  0.0  1.12 F5 pt ab sp _neqc
00323 1000  5.0  0.0  1.40 F5 pt ab sp _neqc
00324 1000  5.0  0.5  0.35 F5 pt ab sp _neqc
00325 1000  5.0  0.5  0.55 F5 pt ab sp _neqc
00326 1000  5.0  0.5  0.71 F5 pt ab sp _neqc
00327 1000  5.0  0.5  0.72 F5 pt ab sp _neqc
00328 1000  5.0  0.5  0.73 F5 pt ab sp _neqc
00329 1000  5.0  0.5  0.74 F5 pt ab sp _neqc
00330 1000  5.0  0.5  0.75 F5 pt ab sp _neqc
00331 1000  5.0  0.5  0.70 F5 pt ab sp _neqc
00332 1000  5.0  0.5  0.85 F5 pt ab sp _neqc
00333 1000  5.0  0.5  0.91 F5 pt ab sp _neqc
00334 1000  5.0  0.5  0.92 F5 pt ab sp _neqc
00335 1000  5.0  0.5  0.93 F5 pt ab sp _neqc
00336 1000  5.0  0.5  0.94 F5 pt ab sp _neqc
00337 1000  5.0  0.5  0.95 F5 pt ab sp _neqc
00338 1000  5.0  0.5  0.90 F5 pt ab sp _neqc
00339 1000  5.0  0.5  1.05 F5 pt ab sp _neqc
00340 1000  5.0  0.5  1.00 F5 pt ab sp _neqc
00341 1000  5.0  0.5  1.12 F5 pt ab sp _neqc
00342 1000  5.0  0.5  1.40 F5 pt ab sp _neqc
00343 1000  5.0  1.0  0.35 F5 pt ab sp _neqc
00344 1000  5.0  1.0  0.55 F5 pt ab sp _neqc
00345 1000  5.0  1.0  0.71 F5 pt ab sp _neqc
00346 1000  5.0  1.0  0.72 F5 pt ab sp _neqc
00347 1000  5.0  1.0  0.73 F5 pt ab sp _neqc
00348 1000  5.0  1.0  0.74 F5 pt ab sp _neqc
00349 1000  5.0  1.0  0.75 F5 pt ab sp _neqc
00350 1000  5.0  1.0  0.70 F5 pt ab sp _neqc
00351 1000  5.0  1.0  0.85 F5 pt ab sp _neqc
00352 1000  5.0  1.0  0.91 F5 pt ab sp _neqc
00353 1000  5.0  1.0  0.92 F5 pt ab sp _neqc
